request_id,token_index,gpu_step_ms_eager,stream_itl_ms_eager,effective_sequence_length_eager,gpu_step_ms_flash,stream_itl_ms_flash,effective_sequence_length_flash,gpu_tpot_speedup_eager_over_flash,stream_itl_speedup_eager_over_flash
req_0102,2,17.524736404418945,17.682609999610577,40,15.36508846282959,15.534746999946949,40,1.1405555162805514,1.138261859022935
req_0102,3,17.751712799072266,17.904194000038842,41,15.469568252563477,15.636809000170617,41,1.1475247731061022,1.1450030501647417
req_0102,4,17.457056045532227,17.62341700032266,42,15.000320434570312,15.144768999562077,42,1.1637788753698906,1.1636636386353767
req_0102,5,17.332223892211914,17.47136500034685,43,15.87609577178955,16.0346570000911,43,1.0917182751574084,1.0896001704462768
req_0102,6,17.577983856201172,17.734199999722478,44,15.108511924743652,15.291872000489091,44,1.163449050691299,1.159714127816089
req_0102,7,17.79747200012207,17.965244999686547,45,14.902144432067873,15.070926999214862,45,1.1942893240132442,1.1920464481463195
req_0102,8,18.19340705871582,18.337141000301926,46,14.798591613769531,14.956295000047248,46,1.2294012520615503,1.2260483629297227
req_0102,9,17.273408889770508,17.426835000151186,47,14.452735900878906,14.604398000301444,47,1.19516533120349,1.1932593866444536
req_0102,10,17.458240509033203,17.61606699983531,48,14.39846420288086,14.57327699972666,48,1.2125071301382366,1.2087924356454436
req_0102,11,17.172191619873047,17.324161999567878,49,14.706687927246094,14.87958300003811,49,1.1676450676606307,1.164290827204197
req_0102,12,17.565696716308594,17.727740000736958,50,14.623744010925291,14.869324000756023,50,1.2011764362932906,1.19223577345114
req_0102,13,17.139711380004883,17.310120999354695,51,14.70844841003418,14.85705299910478,51,1.165297038966536,1.1651113447867303
req_0102,14,18.089984893798828,18.260362000546596,52,15.127519607543944,15.263081000739476,52,1.195832850534038,1.1963745720580208
req_0102,15,17.64352035522461,17.807579999498557,53,15.003647804260254,15.152138999837916,53,1.1759487149661543,1.1752518901581517
req_0102,16,17.577728271484375,17.74489099989296,54,14.897695541381836,15.062256999954116,54,1.1798957914435908,1.1781030558665289
