request_id,workload_category,source,source_id,source_license,prompt_hash,question_hash,input_tokens,max_new_tokens,has_document_context
req_0001,short_interactive,lmsys_chatbot_arena_conversations,73af8c2763234c60a3bb7a029b55c292,CC-BY-4.0 (user prompts),fb619a630c8fde6581f2,,33,256,False
req_0002,short_interactive,lmsys_chatbot_arena_conversations,b39985bc504e41d3a8b3a6771ca61a34,CC-BY-4.0 (user prompts),099efd9a8610296acf61,,33,256,False
req_0003,short_interactive,lmsys_chatbot_arena_conversations,83183f2a9a294a8eaa753dce78acb274,CC-BY-4.0 (user prompts),9b06f718f0d54df7ef39,,33,256,False
req_0004,short_interactive,lmsys_chatbot_arena_conversations,365e416e80dd45d89e50b417389d3303,CC-BY-4.0 (user prompts),517e11bae7820fcd892c,,33,256,False
req_0005,short_interactive,lmsys_chatbot_arena_conversations,f032214df5d242ce8d178f6f49a30811,CC-BY-4.0 (user prompts),e2a1c47ccadb4cf84338,,33,256,False
req_0006,short_interactive,lmsys_chatbot_arena_conversations,3ea2ab0e8af446268fc44f4152c4c3b7,CC-BY-4.0 (user prompts),1155cb06316e28897a8c,,34,256,False
req_0007,short_interactive,lmsys_chatbot_arena_conversations,f1a0cedda8de4164953bd28367d3e70a,CC-BY-4.0 (user prompts),bf684e69588da163d79b,,34,256,False
req_0008,short_interactive,lmsys_chatbot_arena_conversations,2f01bce427bb4855b19827395f555aff,CC-BY-4.0 (user prompts),183033424e77650f96ab,,34,256,False
req_0009,short_interactive,lmsys_chatbot_arena_conversations,7d77f954efb64e9288e290ae3f113720,CC-BY-4.0 (user prompts),aaa64011f5bd2171e445,,34,256,False
req_0010,short_interactive,lmsys_chatbot_arena_conversations,482c48d602704ecba706287177adc75b,CC-BY-4.0 (user prompts),666350748b3437d28776,,34,256,False
req_0011,short_interactive,lmsys_chatbot_arena_conversations,5ee55b0044204ed2a096f6c822416659,CC-BY-4.0 (user prompts),ca9f48268cc9d3fc356b,,34,256,False
req_0012,short_interactive,lmsys_chatbot_arena_conversations,b47943e3c3af4823bf58c45617eb9528,CC-BY-4.0 (user prompts),923259b2f228db566123,,34,256,False
req_0013,short_interactive,lmsys_chatbot_arena_conversations,5625c8cde6bd4b1b8667773ff997a1f3,CC-BY-4.0 (user prompts),1f6341519be5e94c8cd0,,34,256,False
req_0014,short_interactive,lmsys_chatbot_arena_conversations,5d012d4fba084501ae5871d19a63715b,CC-BY-4.0 (user prompts),c3282f04079e5d48f147,,34,256,False
req_0015,short_interactive,lmsys_chatbot_arena_conversations,147d2ad3fca341b6aaeb9ea85649da3a,CC-BY-4.0 (user prompts),ed84c0c884e71828603d,,34,256,False
req_0016,short_interactive,lmsys_chatbot_arena_conversations,76771d0b0a49480ea17f16c46d193cc0,CC-BY-4.0 (user prompts),0519f5fe7714c441b432,,35,256,False
req_0017,short_interactive,lmsys_chatbot_arena_conversations,8b1fa822ad944d758a3a49da47a8ada4,CC-BY-4.0 (user prompts),6a3cf25ec308a4ab9a5d,,35,256,False
req_0018,short_interactive,lmsys_chatbot_arena_conversations,077bf20287f6478f8a594794df480e78,CC-BY-4.0 (user prompts),ef475e36f53f34eaf1b6,,35,256,False
req_0019,short_interactive,lmsys_chatbot_arena_conversations,f56347c9b36e4d328c38ed47e3d01047,CC-BY-4.0 (user prompts),2a0326220100a4f0b3ab,,35,256,False
req_0020,short_interactive,lmsys_chatbot_arena_conversations,77fafcb7213c4a1d9af26bcde394f0a7,CC-BY-4.0 (user prompts),0d694394642319ca5411,,35,256,False
req_0021,short_interactive,lmsys_chatbot_arena_conversations,f977136fc6314336a005890c9a08861a,CC-BY-4.0 (user prompts),866e87ab3b93dc5ffde5,,35,256,False
req_0022,short_interactive,lmsys_chatbot_arena_conversations,85727bdd8d9f423596c8076e43afc6e9,CC-BY-4.0 (user prompts),1c49c033782540030de0,,35,256,False
req_0023,short_interactive,lmsys_chatbot_arena_conversations,e1f47dbc4f1144ecbb53fee94ad458ae,CC-BY-4.0 (user prompts),91961cf28355f20012af,,35,256,False
req_0024,short_interactive,lmsys_chatbot_arena_conversations,53d8d9ccfcae42f1a163caee5138a0b6,CC-BY-4.0 (user prompts),443516b2027ef52dcabb,,35,256,False
req_0025,short_interactive,lmsys_chatbot_arena_conversations,13c4360e25fd41efa93dd231562b5234,CC-BY-4.0 (user prompts),9df77b5c470ae19238c4,,35,256,False
req_0026,short_interactive,lmsys_chatbot_arena_conversations,515ddee2b982436883d277ee88641227,CC-BY-4.0 (user prompts),22082ad87f137492fc08,,35,256,False
req_0027,short_interactive,lmsys_chatbot_arena_conversations,5622d1c2a5454807ac347d2abbc92de5,CC-BY-4.0 (user prompts),b7f201386e1a327dae6d,,35,256,False
req_0028,short_interactive,lmsys_chatbot_arena_conversations,c871820a73ac498cb69511af7ec9dc30,CC-BY-4.0 (user prompts),d615fc8840a75cd92ccc,,35,256,False
req_0029,short_interactive,lmsys_chatbot_arena_conversations,dcf14fd59926454fada2dc05cc2f2cd0,CC-BY-4.0 (user prompts),f71bfd0a4137b683ce03,,35,256,False
req_0030,short_interactive,lmsys_chatbot_arena_conversations,9553eed0eec74dcea47e2f9a2c05b280,CC-BY-4.0 (user prompts),c2f632ee8b926338498b,,35,256,False
req_0031,short_interactive,lmsys_chatbot_arena_conversations,82923a17aa1e41c5b5e791da34a9febd,CC-BY-4.0 (user prompts),31d1876888c836c10914,,35,256,False
req_0032,short_interactive,lmsys_chatbot_arena_conversations,432ed31aa52a47eaacb69815aaf2b622,CC-BY-4.0 (user prompts),d1d7c2b9f59dd000151e,,35,256,False
req_0033,short_interactive,lmsys_chatbot_arena_conversations,bb0e03ea430f456f9475af6fb2a089a9,CC-BY-4.0 (user prompts),8b3d986cc2652556053d,,36,256,False
req_0034,short_interactive,lmsys_chatbot_arena_conversations,747ab2bcef9c445ebe18e2cf27f29c8b,CC-BY-4.0 (user prompts),6ca4e8eb834d52f89b3b,,36,256,False
req_0035,short_interactive,lmsys_chatbot_arena_conversations,a0826bd6da5846909b6e300f0b55c75c,CC-BY-4.0 (user prompts),231da57aadbe4d5b1dba,,36,256,False
